,Time,Season,Value,EPU,Unit
115,1994,Fall,0.054636,GOM,degrees C
116,1995,Winter,0.077730656,GOM,degrees C
117,1995,Spring,-0.2744112,GOM,degrees C
118,1995,Summer,0.04757309,GOM,degrees C
119,1995,Fall,0.505599,GOM,degrees C
120,1996,Winter,-0.012354851,GOM,degrees C
121,1996,Spring,0.10250187,GOM,degrees C
122,1996,Summer,-1.055254,GOM,degrees C
123,1996,Fall,-0.5323591,GOM,degrees C
124,1997,Winter,-0.07930708,GOM,degrees C
125,1997,Spring,-0.89829445,GOM,degrees C
126,1997,Summer,-0.5968723,GOM,degrees C
127,1997,Fall,-0.76116085,GOM,degrees C
128,1998,Winter,-0.5885916,GOM,degrees C
129,1998,Spring,0.07765198,GOM,degrees C
130,1998,Summer,-0.3178959,GOM,degrees C
131,1998,Fall,-0.55367756,GOM,degrees C
132,1999,Winter,0.1585021,GOM,degrees C
133,1999,Spring,0.6411953,GOM,degrees C
134,1999,Summer,0.6279335,GOM,degrees C
135,1999,Fall,-0.049689293,GOM,degrees C
136,2000,Winter,0.43481398,GOM,degrees C
137,2000,Spring,0.35782433,GOM,degrees C
138,2000,Summer,0.059898376,GOM,degrees C
139,2000,Fall,0.22332954,GOM,degrees C
140,2001,Winter,0.5234041,GOM,degrees C
141,2001,Spring,0.4721222,GOM,degrees C
142,2001,Summer,-0.11788368,GOM,degrees C
143,2001,Fall,0.40230274,GOM,degrees C
144,2002,Winter,1.1151471,GOM,degrees C
145,2002,Spring,0.21256447,GOM,degrees C
146,2002,Summer,0.52671623,GOM,degrees C
147,2002,Fall,0.31893063,GOM,degrees C
148,2003,Winter,0.19165277,GOM,degrees C
149,2003,Spring,-0.39193344,GOM,degrees C
150,2003,Summer,0.03086853,GOM,degrees C
151,2003,Fall,-0.1319294,GOM,degrees C
152,2004,Winter,-0.6168642,GOM,degrees C
153,2004,Spring,-1.1368151,GOM,degrees C
154,2004,Summer,-0.80503845,GOM,degrees C
155,2004,Fall,-0.19853497,GOM,degrees C
156,2005,Winter,-0.6622696,GOM,degrees C
157,2005,Spring,-0.53862095,GOM,degrees C
158,2005,Summer,-0.051193237,GOM,degrees C
159,2005,Fall,0.19343376,GOM,degrees C
160,2006,Winter,0.5678439,GOM,degrees C
161,2006,Spring,0.4567051,GOM,degrees C
162,2006,Summer,0.2779007,GOM,degrees C
163,2006,Fall,0.9673176,GOM,degrees C
164,2007,Winter,1.3078704,GOM,degrees C
165,2007,Spring,0.111748695,GOM,degrees C
166,2007,Summer,-0.11507988,GOM,degrees C
167,2007,Fall,0.3157215,GOM,degrees C
168,2008,Winter,0.18448067,GOM,degrees C
169,2008,Spring,0.63117695,GOM,degrees C
170,2008,Summer,0.56186104,GOM,degrees C
171,2008,Fall,-0.19562721,GOM,degrees C
172,2009,Winter,-0.28592777,GOM,degrees C
173,2009,Spring,0.14492321,GOM,degrees C
174,2009,Summer,0.32208824,GOM,degrees C
175,2009,Fall,0.093006134,GOM,degrees C
176,2010,Winter,-0.108837605,GOM,degrees C
177,2010,Spring,1.4162836,GOM,degrees C
178,2010,Summer,1.1226997,GOM,degrees C
179,2010,Fall,0.17681313,GOM,degrees C
180,2011,Winter,-0.28495312,GOM,degrees C
181,2011,Spring,-0.0018539429,GOM,degrees C
182,2011,Summer,0.21134186,GOM,degrees C
183,2011,Fall,0.6776562,GOM,degrees C
184,2012,Winter,1.0324755,GOM,degrees C
185,2012,Spring,1.6149302,GOM,degrees C
186,2012,Summer,1.5709248,GOM,degrees C
187,2012,Fall,0.9339647,GOM,degrees C
188,2013,Winter,0.90367174,GOM,degrees C
189,2013,Spring,0.7843809,GOM,degrees C
190,2013,Summer,0.85544014,GOM,degrees C
191,2013,Fall,0.40936184,GOM,degrees C
192,2014,Winter,0.26377487,GOM,degrees C
193,2014,Spring,0.5281801,GOM,degrees C
194,2014,Summer,0.7031231,GOM,degrees C
195,2014,Fall,1.0921726,GOM,degrees C
196,2015,Winter,0.29179907,GOM,degrees C
197,2015,Spring,-0.16424656,GOM,degrees C
198,2015,Summer,1.2316952,GOM,degrees C
199,2015,Fall,0.75056744,GOM,degrees C
200,2016,Winter,0.82013416,GOM,degrees C
201,2016,Spring,0.597949,GOM,degrees C
202,2016,Summer,1.3536911,GOM,degrees C
203,2016,Fall,0.96742153,GOM,degrees C
204,2017,Winter,1.0938301,GOM,degrees C
205,2017,Spring,0.329484,GOM,degrees C
206,2017,Summer,0.3477745,GOM,degrees C
207,2017,Fall,1.4412518,GOM,degrees C
208,2018,Winter,0.7778125,GOM,degrees C
209,2018,Spring,0.5424452,GOM,degrees C
210,2018,Summer,1.8569603,GOM,degrees C
211,2018,Fall,0.3746214,GOM,degrees C
212,2019,Winter,-0.116808414,GOM,degrees C
213,2019,Spring,-0.018262863,GOM,degrees C
214,2019,Summer,0.97563744,GOM,degrees C
215,2019,Fall,0.50559807,GOM,degrees C
216,1993,Winter,-1.2270827,GB,degrees C
217,1993,Spring,-1.0132389,GB,degrees C
218,1993,Summer,-0.38045502,GB,degrees C
219,1993,Fall,-0.4787445,GB,degrees C
220,1994,Winter,-0.79487324,GB,degrees C
221,1994,Spring,-0.15973186,GB,degrees C
222,1994,Summer,0.20589638,GB,degrees C
223,1994,Fall,0.029421806,GB,degrees C
224,1995,Winter,0.6911087,GB,degrees C
225,1995,Spring,-0.24756336,GB,degrees C
226,1995,Summer,0.23398781,GB,degrees C
227,1995,Fall,0.91472435,GB,degrees C
228,1996,Winter,0.4694829,GB,degrees C
229,1996,Spring,0.12853813,GB,degrees C
230,1996,Summer,-0.29762077,GB,degrees C
231,1996,Fall,-0.3733921,GB,degrees C
232,1997,Winter,-0.037745476,GB,degrees C
233,1997,Spring,-0.9791384,GB,degrees C
234,1997,Summer,-0.88061523,GB,degrees C
235,1997,Fall,-1.2294607,GB,degrees C
236,1998,Winter,-0.06049204,GB,degrees C
237,1998,Spring,-0.14055347,GB,degrees C
238,1998,Summer,-0.2747364,GB,degrees C
239,1998,Fall,-0.29763794,GB,degrees C
240,1999,Winter,0.4499426,GB,degrees C
241,1999,Spring,0.6023607,GB,degrees C
242,1999,Summer,0.38825798,GB,degrees C
243,1999,Fall,-0.3318367,GB,degrees C
244,2000,Winter,0.25434065,GB,degrees C
245,2000,Spring,1.0367413,GB,degrees C
246,2000,Summer,0.18418503,GB,degrees C
247,2000,Fall,-0.4302349,GB,degrees C
248,2001,Winter,0.27378845,GB,degrees C
249,2001,Spring,0.44592285,GB,degrees C
250,2001,Summer,0.12246704,GB,degrees C
251,2001,Fall,0.3592081,GB,degrees C
252,2002,Winter,0.72815657,GB,degrees C
253,2002,Spring,0.3848629,GB,degrees C
254,2002,Summer,0.868206,GB,degrees C
255,2002,Fall,0.9873934,GB,degrees C
256,2003,Winter,-0.3759718,GB,degrees C
257,2003,Spring,-0.18325996,GB,degrees C
258,2003,Summer,-0.3975315,GB,degrees C
259,2003,Fall,-0.86703205,GB,degrees C
260,2004,Winter,-1.2514472,GB,degrees C
261,2004,Spring,-0.78826046,GB,degrees C
262,2004,Summer,-1.2041702,GB,degrees C
263,2004,Fall,-0.19319248,GB,degrees C
264,2005,Winter,0.009646893,GB,degrees C
265,2005,Spring,-0.60860443,GB,degrees C
266,2005,Summer,0.19605827,GB,degrees C
267,2005,Fall,1.0060539,GB,degrees C
268,2006,Winter,0.7451906,GB,degrees C
269,2006,Spring,0.74680996,GB,degrees C
270,2006,Summer,0.6507263,GB,degrees C
271,2006,Fall,1.0408497,GB,degrees C
272,2007,Winter,0.5551138,GB,degrees C
273,2007,Spring,-0.09523964,GB,degrees C
274,2007,Summer,-0.27640724,GB,degrees C
275,2007,Fall,0.23757935,GB,degrees C
276,2008,Winter,0.4317379,GB,degrees C
277,2008,Spring,0.43393803,GB,degrees C
278,2008,Summer,0.2209835,GB,degrees C
279,2008,Fall,-0.5568609,GB,degrees C
280,2009,Winter,-0.6419573,GB,degrees C
281,2009,Spring,-0.20586395,GB,degrees C
282,2009,Summer,-0.11994171,GB,degrees C
283,2009,Fall,0.29127216,GB,degrees C
284,2010,Winter,-0.21892738,GB,degrees C
285,2010,Spring,0.64226437,GB,degrees C
286,2010,Summer,0.7606602,GB,degrees C
287,2010,Fall,-0.10811138,GB,degrees C
288,2011,Winter,-0.41840887,GB,degrees C
289,2011,Spring,-0.03285408,GB,degrees C
290,2011,Summer,0.13791466,GB,degrees C
291,2011,Fall,0.70532036,GB,degrees C
292,2012,Winter,1.5340319,GB,degrees C
293,2012,Spring,1.4295359,GB,degrees C
294,2012,Summer,1.1561947,GB,degrees C
295,2012,Fall,1.372036,GB,degrees C
296,2013,Winter,0.60065174,GB,degrees C
297,2013,Spring,0.42329502,GB,degrees C
298,2013,Summer,0.52692604,GB,degrees C
299,2013,Fall,0.2576189,GB,degrees C
300,2014,Winter,0.41312408,GB,degrees C
301,2014,Spring,1.1013012,GB,degrees C
302,2014,Summer,0.7736263,GB,degrees C
303,2014,Fall,0.7274666,GB,degrees C
304,2015,Winter,0.29267454,GB,degrees C
305,2015,Spring,0.70430183,GB,degrees C
306,2015,Summer,1.1349659,GB,degrees C
307,2015,Fall,1.2334089,GB,degrees C
308,2016,Winter,1.4224448,GB,degrees C
309,2016,Spring,0.8562145,GB,degrees C
310,2016,Summer,1.0860863,GB,degrees C
311,2016,Fall,1.453186,GB,degrees C
312,2017,Winter,1.1682382,GB,degrees C
313,2017,Spring,1.2029333,GB,degrees C
314,2017,Summer,1.0442429,GB,degrees C
315,2017,Fall,1.9191418,GB,degrees C
316,2018,Winter,0.9701252,GB,degrees C
317,2018,Spring,1.109189,GB,degrees C
318,2018,Summer,1.3702412,GB,degrees C
319,2018,Fall,0.6847067,GB,degrees C
320,2019,Winter,0.5685687,GB,degrees C
321,2019,Spring,0.5575228,GB,degrees C
322,2019,Summer,1.0429363,GB,degrees C
323,2019,Fall,1.1960726,GB,degrees C
